city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Sài Gòn,hotel,10.788424,106.7665232,Việt Nam,Chișinău Hotel,hotel,537/13 Nguyễn Duy Trinh Phường Bình Trưng Đông Quận 2 TP. Hồ Chí Minh,,2,1498011437
Sài Gòn,hotel,10.7874442,106.6804913,Việt Nam,Podgorica Hotel,hotel,220/118 Lê Văn Sỹ Phường 14 Quận 3 TP. Hồ Chí Minh,,3,1499454516
Sài Gòn,hotel,10.7667261,106.6761591,Việt Nam,Marigot Hotel,hotel,162 Lý Thái Tổ Phường 1 Quận 3 TP. Hồ Chí Minh,,3,1663133172
Sài Gòn,hotel,10.7864204,106.688227,Việt Nam,Antananarivo Hotel,hotel,166 Võ Thị Sáu Phường 8 Quận 3 TP. Hồ Chí Minh,,3,1450978461
Sài Gòn,hotel,10.7876364,106.6708906,Việt Nam,Majuro Hotel,hotel,1046 Trường Sa Phường 12 Quận 3 TP. Hồ Chí Minh,,3,1584000000
Sài Gòn,hotel,10.7867641,106.6713214,Việt Nam,Skopje Hotel,hotel, 971 Hoàng Sa Phường 11 Quận 3 TP. Hồ Chí Minh,,3,1807600615
Sài Gòn,event,10.7784697,106.7027093,Việt Nam,Bamako Event,event,18 Cao Bá Quát Quận 1 TP. Hồ Chí Minh Việt Nam,2020-01-10T00:00:00.000+07:00,1,1466965925
Sài Gòn,event,10.768744,106.6988146,Việt Nam,Rangoon Event,event,192 Nguyễn Công Trí Phường Nguyễn Thái Bình Quận 1 TP. Hồ Chí Minh,2020-01-10T00:00:00.000+07:00,1,1104616656
Sài Gòn,event,10.7695941,106.6904017,Việt Nam,Naypyidaw Event,event,Ngã Ba Lê Lai & Nguyễn Văn Tráng Phường Phạm Ngũ Lão TP. Hồ Chí Minh,2020-01-10T00:00:00.000+07:00,1,1104838105
Sài Gòn,event,10.778952,106.7005211,Việt Nam,Ulaanbaatar Event,event,76 Hai Bà Trưng Phường Bến Nghé Quận 1 TP. Hồ Chí Minh,2020-01-11T00:00:00.000+07:00,1,1496024767
Sài Gòn,event,10.7823752,106.7025604,Việt Nam,Nouakchott Event,event, 8 Lý Tự Trọng Phường Bến Nghé Quận 1 TP. Hồ Chí Minh,2020-01-11T00:00:00.000+07:00,1,1478414984
Sài Gòn,event,10.7796114,106.7609691,Việt Nam,Plymouth Event,event,441 Nguyễn Thị Định Cát Lái Quận 2 TP. Hồ Chí Minh,2020-01-12T00:00:00.000+07:00,2,1500711935
Sài Gòn,event,10.799993,106.7349627,Việt Nam,Valletta Event,event,45 Song Hành An Phú Quận 2 TP. Hồ Chí Minh,2020-01-12T00:00:00.000+07:00,2,1470574399
Sài Gòn,event,10.7982022,106.7365292,Việt Nam,Port Louis Event,event,1 Thảo Điền Phường Thảo Điền Quận 2 TP. Hồ Chí Minh,2020-01-13T00:00:00.000+07:00,2,1480131261
Sài Gòn,event,10.802441,106.7359767,Việt Nam,Malé Event,event,10 Thảo Điền Phường Thảo Điền Quận 2 TP. Hồ Chí Minh,2020-01-14T00:00:00.000+07:00,2,1462441685
Sài Gòn,event,10.788424,106.7665232,Việt Nam,Lilongwe Event,event,537/13 Nguyễn Duy Trinh Phường Bình Trưng Đông Quận 2 TP. Hồ Chí Minh,2020-01-14T00:00:00.000+07:00,2,1454688499
Sài Gòn,event,10.7874442,106.6804913,Việt Nam,Mexico City Event,event,220/118 Lê Văn Sỹ Phường 14 Quận 3 TP. Hồ Chí Minh,2020-01-15T00:00:00.000+07:00,3,1484247881
Sài Gòn,event,10.7667261,106.6761591,Việt Nam,Kuala Lumpur Event,event,162 Lý Thái Tổ Phường 1 Quận 3 TP. Hồ Chí Minh,2020-01-15T00:00:00.000+07:00,3,1458988644
Sài Gòn,event,10.7864204,106.688227,Việt Nam,Maputo Event Event,event,166 Võ Thị Sáu Phường 8 Quận 3 TP. Hồ Chí Minh,2020-01-16T00:00:00.000+07:00,3,1508074843
Sài Gòn,event,10.7876364,106.6708906,Việt Nam,Windhoek Event,event,1046 Trường Sa Phường 12 Quận 3 TP. Hồ Chí Minh,2020-01-16T00:00:00.000+07:00,3,1516802003
Sài Gòn,event,10.7867641,106.6713214,Việt Nam,Nouméa Event,event, 971 Hoàng Sa Phường 11 Quận 3 TP. Hồ Chí Minh,2020-01-17T00:00:00.000+07:00,3,1540958092
